M,N,K,t,tflops
2,2,2,1.6565e-5,9.658919408391186e-7
2,2,4,1.6448e-5,1.945525291828794e-6
2,2,8,1.6329e-5,3.919407189662563e-6
2,2,16,1.6546e-5,7.736008703009791e-6
2,2,32,2.1248e-5,1.2048192771084337e-5
2,2,64,3.1295e-5,1.6360440965010386e-5
2,2,128,5.0022e-5,2.0470992763184196e-5
2,2,256,8.8858e-5,2.304800918319116e-5
2,2,512,0.000214698,1.9077960670336934e-5
2,2,1024,0.000498162,1.6444449797455443e-5
2,2,2048,0.000648314,2.5271704760347607e-5
2,2,4096,0.00129894,2.5226723328252267e-5
2,2,8192,0.002523556,2.596970306979516e-5
2,2,16384,0.005061026,2.589830599566175e-5
2,2,32768,0.010007024,2.6195999929649416e-5
2,2,65536,0.023565961,2.224768173044163e-5
2,2,131072,0.047685318,2.198949370537909e-5
2,2,262144,0.087234745,2.4040329343543103e-5
2,2,524288,0.166365217,2.5211423851898078e-5
2,2,1048576,0.345721138,2.4264087664781437e-5
2,2,2097152,0.714549289,2.3479438379232644e-5
2,2,4194304,1.417843966,2.3665814295957586e-5
2,2,8388608,2.814558706,2.3843476370536932e-5
2,2,16777216,5.640194578,2.3796648527610426e-5
2,2,33554432,11.352193296,2.3646131544869355e-5
2,2,67108864,22.692731425,2.3658276385739225e-5
2,2,134217728,45.454436289,2.362237686049241e-5
2,2,268435456,91.04836657,2.3586185330946788e-5
2,4,2,1.6852e-5,1.8988844054118204e-6
2,4,4,1.69e-5,3.78698224852071e-6
2,4,8,1.6843e-5,7.5995962714480785e-6
2,4,16,1.6827e-5,1.5213644737624056e-5
2,4,32,2.1514e-5,2.3798456818815653e-5
2,4,64,3.1278e-5,3.273866615512501e-5
2,4,128,5.0408e-5,4.0628471671163306e-5
2,4,256,8.9157e-5,4.594142916428323e-5
2,4,512,0.000307057,2.6679085642079484e-5
2,4,1024,0.000477161,3.4336418944549114e-5
2,4,2048,0.00065486,5.003817609870812e-5
2,4,4096,0.001349956,4.8546767450198375e-5
2,4,8192,0.002584759,5.070956325135148e-5
2,4,16384,0.005021777,5.220144184020916e-5
2,4,32768,0.010063129,5.2099898550440925e-5
2,4,65536,0.025773255,4.0684655469400354e-5
2,4,131072,0.048056716,4.3639103429372916e-5
2,4,262144,0.088104444,4.7606043572558035e-5
2,4,524288,0.178670771,4.6950085641036386e-5
2,4,1048576,0.362801316,4.624353677923264e-5
2,4,2097152,0.721857713,4.648344319900617e-5
2,4,4194304,1.429556411,4.694383760138304e-5
2,4,8388608,2.863628577,4.686981023936052e-5
2,4,16777216,5.680660542,4.725426805832187e-5
2,4,33554432,11.490163236,4.6724393811736444e-5
2,4,67108864,22.766252124,4.7163750016985444e-5
2,4,134217728,45.478608904,4.72196423714957e-5
2,8,2,1.7005e-5,3.7635989414877975e-6
2,8,4,1.6818e-5,7.610893090736115e-6
2,8,8,1.6681e-5,1.5346801750494576e-5
2,8,16,1.6811e-5,3.045624888465886e-5
2,8,32,2.1654e-5,4.7289184446291676e-5
2,8,64,3.142e-5,6.518141311266709e-5
2,8,128,5.0573e-5,8.099183358709193e-5
2,8,256,8.943e-5,9.160237056916023e-5
2,8,512,0.000307256,5.332361288306819e-5
2,8,1024,0.000411185,7.969162299208386e-5
2,8,2048,0.000666229,9.836857897209519e-5
2,8,4096,0.00126433,0.00010366913701327976
2,8,8192,0.002502093,0.00010476988665089588
2,8,16384,0.005018577,0.00010446945418990284
2,8,32768,0.010010559,0.00010474699764518644
2,8,65536,0.023558467,8.901903506709498e-5
2,8,131072,0.04768792,8.795317556311955e-5
2,8,262144,0.093554623,8.966534983525079e-5
2,8,524288,0.18358311,9.138757917326928e-5
2,8,1048576,0.371357002,9.03562658554638e-5
2,8,2097152,0.734964945,9.130893174775839e-5
2,8,4194304,1.471108348,9.123578707338013e-5
2,8,8388608,2.915175235,9.208209948312079e-5
2,8,16777216,5.81629498,9.230462241789532e-5
2,8,33554432,11.696004033,9.1804159862673e-5
2,8,67108864,23.347416066,9.197949965552303e-5
2,16,2,1.6922e-5,7.564117716581964e-6
2,16,4,1.6948e-5,1.5105027141845646e-5
2,16,8,1.6806e-5,3.0465310008330357e-5
2,16,16,1.6814e-5,6.090162959438564e-5
2,16,32,2.1589e-5,9.486312473945065e-5
2,16,64,3.1768e-5,0.0001289347771342231
2,16,128,5.0961e-5,0.00016075037773984028
2,16,256,8.9602e-5,0.00018285306131559563
2,16,512,0.000295602,0.00011085175337108679
2,16,1024,0.000500271,0.00013100099745937702
2,16,2048,0.000654113,0.00020038127968714887
2,16,4096,0.001291383,0.00020299477382000538
2,16,8192,0.00251789,0.00020822514089177845
2,16,16384,0.005083304,0.0002062784362296648
2,16,32768,0.010050725,0.00020865678844063487
2,16,65536,0.023909878,0.0001754213885993061
2,16,131072,0.049515543,0.00016941363240225395
2,16,262144,0.093783631,0.0001788927963345757
2,16,524288,0.187474564,0.00017898125102453895
2,16,1048576,0.366776778,0.00018296922822087715
2,16,2097152,0.726273979,0.00018480316227879065
2,16,4194304,1.453068684,0.00018473693566986265
2,16,8388608,2.881599605,0.00018631003109122096
2,16,16777216,5.749519021,0.000186753330161737
2,16,33554432,11.552929995,0.00018588216573020097
2,32,2,1.6987e-5,1.5070347913110027e-5
2,32,4,1.7007e-5,3.010525077909096e-5
2,32,8,1.6946e-5,6.042723946654078e-5
2,32,16,1.6906e-5,0.00012114042351827753
2,32,32,2.1597e-5,0.0001896559707366764
2,32,64,3.1708e-5,0.00025835751229973504
2,32,128,5.1146e-5,0.00032033785633285106
2,32,256,8.9983e-5,0.00036415767422735406
2,32,512,0.000308555,0.0002123964933318209
2,32,1024,0.000452285,0.000289799573277911
2,32,2048,0.000650057,0.00040326309846674984
2,32,4096,0.001311225,0.0003998459455852352
2,32,8192,0.002547944,0.0004115380871793101
2,32,16384,0.005037367,0.00041631908098020253
2,32,32768,0.010064537,0.00041674087938670205
2,32,65536,0.023839945,0.0003518719527247231
2,32,131072,0.051387879,0.0003264819705829852
2,32,262144,0.098847915,0.00033945513165351037
2,32,524288,0.189494515,0.00035414673612056794
2,32,1048576,0.37119459,0.0003615832008758533
2,32,2097152,0.734054872,0.0003656885421502931
2,32,4194304,1.459985483,0.0003677234590694899
2,32,8388608,2.911185653,0.00036883316695845227
2,32,16777216,5.814656743,0.0003693225142800145
2,64,2,1.7157e-5,2.9842046977909894e-5
2,64,4,1.6886e-5,6.064195191282719e-5
2,64,8,1.6991e-5,0.000120534400565005
2,64,16,1.7015e-5,0.00024072876873347046
2,64,32,2.1872e-5,0.0003745427944403804
2,64,64,3.1858e-5,0.0005142821269382887
2,64,128,5.115e-5,0.0006406256109481915
2,64,256,9.0169e-5,0.0007268129845068705
2,64,512,0.000264545,0.0004954620196941919
2,64,1024,0.000476446,0.0005502071588385672
2,64,2048,0.000667268,0.0007857232776036015
2,64,4096,0.001277358,0.0008208943773006472
2,64,8192,0.002548786,0.0008228042683850273
2,64,16384,0.00510578,0.0008214815366114482
2,64,32768,0.010096894,0.0008308107423926604
2,64,65536,0.030038861,0.0005585170489653386
2,64,131072,0.053984438,0.0006215574940318911
2,64,262144,0.099918101,0.0006716387053833219
2,64,524288,0.191655383,0.0007003076349804378
2,64,1048576,0.374733055,0.0007163378101245966
2,64,2097152,0.742602844,0.0007229583300653236
2,64,4194304,1.486461454,0.0007223475732321277
2,64,8388608,2.954522893,0.00072684616967698
2,128,2,1.7603e-5,5.8171902516616484e-5
2,128,4,1.7568e-5,0.00011657559198542806
2,128,8,1.7469e-5,0.0002344724941324632
2,128,16,1.7378e-5,0.00047140062147542876
2,128,32,2.2115e-5,0.0007408546235586705
2,128,64,3.222e-5,0.001017008069522036
2,128,128,5.194e-5,0.00126176357335387
2,128,256,9.0963e-5,0.0014409375240482393
2,128,512,0.000311432,0.0008417375221557194
2,128,1024,0.000444322,0.0011799730825842521
2,128,2048,0.000666993,0.0015720944597619466
2,128,4096,0.001298176,0.0016154604614474462
2,128,8192,0.002592681,0.001617747806228379
2,128,16384,0.005151121,0.0016285014465783273
2,128,32768,0.011403503,0.0014712335323628187
2,128,65536,0.029485404,0.0011380014328445356
2,128,131072,0.053394208,0.001256856623849538
2,128,262144,0.098703826,0.001359802688904886
2,128,524288,0.189371491,0.0014175072212955222
2,128,1048576,0.370565333,0.0014487888212683943
2,128,2097152,0.733214574,0.001464430552903876
2,128,4194304,1.457719814,0.0014731799810741956
2,256,2,1.7545e-5,0.00011672841265317755
2,256,4,1.7478e-5,0.000234351756493878
2,256,8,1.7576e-5,0.0004660901228948566
2,256,16,1.7582e-5,0.0009318621317256284
2,256,32,2.273e-5,0.0014416190057193136
2,256,64,3.2329e-5,0.0020271582789446007
2,256,128,5.1865e-5,0.002527176323146631
2,256,256,9.1504e-5,0.0028648365098793496
2,256,512,0.000311944,0.001680711922652784
2,256,1024,0.000506487,0.002070292031187375
2,256,2048,0.000674109,0.0031109983696998556
2,256,4096,0.001291535,0.003247534135737708
2,256,8192,0.002583067,0.0032475379074565235
2,256,16384,0.005666969,0.002960527223635774
2,256,32768,0.01135053,0.0029561995783456813
2,256,65536,0.029048853,0.0023102070157468868
2,256,131072,0.053141882,0.0025256487528988905
2,256,262144,0.098259689,0.0027318980828445324
2,256,524288,0.188351628,0.002850365126655555
2,256,1048576,0.368503756,0.0029137880049179203
2,256,2097152,0.729389166,0.002944222025913667
2,512,2,1.747e-5,0.00023445907269605036
2,512,4,1.7556e-5,0.0004666210982000456
2,512,8,1.7656e-5,0.000927956502038967
2,512,16,1.7645e-5,0.0018570699914990082
2,512,32,2.2652e-5,0.002893166166342928
2,512,64,3.2252e-5,0.004063996031253876
2,512,128,5.2241e-5,0.00501797438793285
2,512,256,9.1555e-5,0.005726481350008192
2,512,512,0.000217468,0.0048217484871337386
2,512,1024,0.000507046,0.00413601921719134
2,512,2048,0.00067393,0.006223649340435951
2,512,4096,0.001289875,0.00650342707626708
2,512,8192,0.002880268,0.005824880184760585
2,512,16384,0.005639461,0.005949935995656322
2,512,32768,0.011253975,0.0059631253845863355
2,512,65536,0.030439476,0.004409331093610153
2,512,131072,0.052767669,0.005087119842265535
2,512,262144,0.097470556,0.005508031697285075
2,512,524288,0.186756477,0.005749422141862314
2,512,1048576,0.365415745,0.005876822981450896
2,1024,2,1.7674e-5,0.00046350571460903017
2,1024,4,1.7685e-5,0.0009264348317783432
2,1024,8,1.7622e-5,0.0018594938145499946
2,1024,16,1.7464e-5,0.003752633989922125
2,1024,32,2.2559e-5,0.0058101866217474185
2,1024,64,3.2488e-5,0.008068948534843636
2,1024,128,5.233e-5,0.010018880183451175
2,1024,256,9.1471e-5,0.011463480228706366
2,1024,512,0.000312668,0.006707280565967737
2,1024,1024,0.000498452,0.008414659786699622
2,1024,2048,0.000749323,0.011194915944125564
2,1024,4096,0.001425764,0.011767176054382072
2,1024,8192,0.00284563,0.011791565312426422
2,1024,16384,0.005588761,0.012007824990190132
2,1024,32768,0.011211234,0.01197171765391749
2,1024,65536,0.029129788,0.009215153093458833
2,1024,131072,0.052603582,0.010205976315453193
2,1024,262144,0.097072854,0.011061195584091923
2,1024,524288,0.18600339,0.011545400586516194
2,2048,2,1.7662e-5,0.0009276412637300418
2,2048,4,1.7643e-5,0.001857280507850139
2,2048,8,1.7678e-5,0.0037072066975902254
2,2048,16,1.7798e-5,0.007364422968872907
2,2048,32,2.2758e-5,0.011518762632920293
2,2048,64,3.2528e-5,0.016118052139695034
2,2048,128,5.2568e-5,0.019947040024349414
2,2048,256,9.214e-5,0.02276049489906664
2,2048,512,0.000313389,0.013383698853501559
2,2048,1024,0.000510125,0.016444220534182798
2,2048,2048,0.00074044,0.02265844092701637
2,2048,4096,0.001494257,0.02245559632646861
2,2048,8192,0.002825029,0.023755106230767896
2,2048,16384,0.005635699,0.02381563103352397
2,2048,32768,0.011162721,0.024047493079868247
2,2048,65536,0.028308168,0.018965229823420575
2,2048,131072,0.052395966,0.02049283381854244
2,2048,262144,0.096701232,0.02220740732651679
2,4096,2,1.7887e-5,0.0018319449879800973
2,4096,4,1.7867e-5,0.0036679912688196118
2,4096,8,1.8005e-5,0.007279755623437933
2,4096,16,1.7999e-5,0.01456436468692705
2,4096,32,2.3025e-5,0.022770380021715525
2,4096,64,3.2894e-5,0.03187742445430778
2,4096,128,5.2973e-5,0.03958907367904404
2,4096,256,9.3074e-5,0.04506418548681694
2,4096,512,0.000316446,0.02650881351004595
2,4096,1024,0.000483244,0.03471789820463368
2,4096,2048,0.000733068,0.04577260499708076
2,4096,4096,0.001424575,0.04710798940034747
2,4096,8192,0.002821222,0.0475743234669232
2,4096,16384,0.005657231,0.04744997261027524
2,4096,32768,0.011201831,0.04792706763742463
2,4096,65536,0.02852458,0.03764268655314118
2,4096,131072,0.052660695,0.040779629816887146
2,8192,2,2.214e-5,0.0029600722673893405
2,8192,4,2.2146e-5,0.005918540594238237
2,8192,8,2.2337e-5,0.011735864261091463
2,8192,16,2.2487e-5,0.0233151598701472
2,8192,32,3.1752e-5,0.03302393550012598
2,8192,64,4.9344e-5,0.04250064850843061
2,8192,128,8.5288e-5,0.04917812587937341
2,8192,256,0.000284805,0.029453864925124206
2,8192,512,0.000482696,0.03475731309146958
2,8192,1024,0.000647134,0.05185082533138423
2,8192,2048,0.001250604,0.05366116212646049
2,8192,4096,0.002433616,0.05515156376355185
2,8192,8192,0.004810493,0.0558020676882806
2,8192,16384,0.009695187,0.05537499297331759
2,8192,32768,0.022335652,0.04807300113737445
2,8192,65536,0.04641898,0.04626305119156
2,16384,2,2.9778e-5,0.004401638793740345
2,16384,4,2.7929e-5,0.009386086147015646
2,16384,8,2.7843e-5,0.018830154796537726
2,16384,16,2.8123e-5,0.03728535362514668
2,16384,32,4.1702e-5,0.05028900292551916
2,16384,64,6.9071e-5,0.06072452983162253
2,16384,128,0.000121847,0.06884542089669832
2,16384,256,0.000377473,0.04444613522026741
2,16384,512,0.000524616,0.06395998597069094
2,16384,1024,0.001004108,0.06683430866002461
2,16384,2048,0.00186252,0.07206243583961515
2,16384,4096,0.003699888,0.07255231942156087
2,16384,8192,0.007406489,0.07248656036618702
2,16384,16384,0.016482471,0.06514446917576862
2,16384,32768,0.037359006,0.057482355071224324
2,32768,2,4.0065e-5,0.006542967677524024
2,32768,4,3.8811e-5,0.013508747520032982
2,32768,8,3.8884e-5,0.026966772965744262
2,32768,16,3.8677e-5,0.054222199239858306
2,32768,32,6.0897e-5,0.06887537973956025
2,32768,64,0.000104791,0.08005084406103578
2,32768,128,0.000350388,0.04788182243684144
2,32768,256,0.000507014,0.06618048416809004
2,32768,512,0.00077771,0.08629034473004076
2,32768,1024,0.001519838,0.08831054888744722
2,32768,2048,0.003065966,0.08755330489640134
2,32768,4096,0.00603255,0.08899568374899502
2,32768,8192,0.012036892,0.08920424175941763
2,32768,16384,0.0318363,0.06745393302613684
2,65536,2,6.6469e-5,0.007887707051407422
2,65536,4,6.5756e-5,0.01594646876330677
2,65536,8,6.5631e-5,0.03195368042540873
2,65536,16,6.5906e-5,0.06364070039146663
2,65536,32,0.000108634,0.07721899221238286
2,65536,64,0.000352861,0.04754624625560774
2,65536,128,0.000577517,0.058101202215692344
2,65536,256,0.000782624,0.08574853825080754
2,65536,512,0.001571444,0.0854104428792881
2,65536,1024,0.003032741,0.088512489526801
2,65536,2048,0.005988952,0.08964354898820362
2,65536,4096,0.011886882,0.09032998089827089
2,65536,8192,0.031098154,0.06905502005038627
2,131072,2,0.00011401,0.009197228313305852
2,131072,4,0.000112947,0.018567575942698786
2,131072,8,0.00011306,0.03709803644082788
2,131072,16,0.0001139,0.07364888498683055
2,131072,32,0.000352872,0.047544764107098327
2,131072,64,0.000480353,0.0698536950950655
2,131072,128,0.000759944,0.08830764372111628
2,131072,256,0.00146653,0.09152061533006485
2,131072,512,0.002822581,0.09510283531278642
2,131072,1024,0.005700697,0.09417636334644693
2,131072,2048,0.011254139,0.0954086157990407
2,131072,4096,0.028659134,0.07493190994535984
2,262144,2,0.000354415,0.0059172213365687116
2,262144,4,0.000367222,0.011421712206784996
2,262144,8,0.00036833,0.02277470746341596
2,262144,16,0.000378462,0.044329988215461524
2,262144,32,0.000532734,0.0629853397755728
2,262144,64,0.00078357,0.08564501448498538
2,262144,128,0.001459231,0.09197839684052765
2,262144,256,0.00288131,0.09316437870274284
2,262144,512,0.00567062,0.09467587530111345
2,262144,1024,0.011247794,0.09546243681205399
2,262144,2048,0.02846735,0.07543672480929907
2,524288,2,0.000525405,0.007982992167946632
2,524288,4,0.000525321,0.01596853733241199
2,524288,8,0.00051734,0.03242976765763328
2,524288,16,0.000542569,0.06184362173290402
2,524288,32,0.000806074,0.08325397420087982
2,524288,64,0.001491149,0.09000960199148442
2,524288,128,0.002860319,0.09384808337811272
2,524288,256,0.005683429,0.09446250001539563
2,524288,512,0.0111935,0.09592547674989949
2,524288,1024,0.028609542,0.07506179749399693
2,1048576,2,0.000914163,0.009176271627707532
2,1048576,4,0.000902708,0.01858542961843697
2,1048576,8,0.00087583,0.03831158101458046
2,1048576,16,0.000890229,0.07538382146616208
2,1048576,32,0.001634983,0.08209120706453829
