M,N,K,t,tflops
2,2,2,1.5598e-5,1.0257725349403771e-6
2,2,4,1.6176e-5,1.9782393669634024e-6
2,2,8,1.657e-5,3.862401931200966e-6
2,2,16,1.8038e-5,7.0961303913959425e-6
2,2,32,2.0718e-5,1.2356405058403321e-5
2,2,64,2.3127e-5,2.2138625848575255e-5
2,2,128,3.1747e-5,3.225501622200523e-5
2,2,256,4.826e-5,4.243680066307501e-5
2,2,512,8.2354e-5,4.973650338781358e-5
2,2,1024,0.000285789,2.8664504232143295e-5
2,2,2048,0.000417617,3.923211938211328e-5
2,2,4096,0.000570399,5.7447506044014805e-5
2,2,8192,0.001146848,5.714445157509975e-5
2,2,16384,0.002193586,5.975238718700794e-5
2,2,32768,0.00439294,5.967393135348992e-5
2,2,65536,0.00926085,5.6613377821690236e-5
2,2,131072,0.021969724,4.772822817437306e-5
2,2,262144,0.042311826,4.956420457958964e-5
2,2,524288,0.076546975,5.4793856974753085e-5
2,2,1048576,0.185719643,4.516812473088805e-5
2,2,2097152,0.423176434,3.964591279674142e-5
2,2,4194304,0.831483624,4.0354892184864006e-5
2,2,8388608,1.673511722,4.0100623806685234e-5
2,2,16777216,3.300936121,4.066050449935381e-5
2,2,33554432,6.617972136,4.056158752010799e-5
2,2,67108864,13.154353932,4.081317218430458e-5
2,2,134217728,26.49710419,4.052298758010054e-5
2,2,268435456,53.283379953,4.0303067295923124e-5
2,4,2,1.7371e-5,1.84215071095504e-6
2,4,4,1.5967e-5,4.008267050792259e-6
2,4,8,1.6662e-5,7.682151002280638e-6
2,4,16,1.8433e-5,1.3888135409320241e-5
2,4,32,2.076e-5,2.466281310211946e-5
2,4,64,2.3573e-5,4.343952827387265e-5
2,4,128,3.1645e-5,6.471796492336862e-5
2,4,256,4.8197e-5,8.49845426063863e-5
2,4,512,8.303e-5,9.866313380705769e-5
2,4,1024,0.000287927,5.690331229790884e-5
2,4,2048,0.0003964,8.266397578203835e-5
2,4,4096,0.000597034,0.00010976929287109276
2,4,8192,0.001144441,0.00011452927673859989
2,4,16384,0.002275494,0.00011520311633429928
2,4,32768,0.004408185,0.00011893511728750042
2,4,65536,0.008799546,0.00011916251133865315
2,4,131072,0.018752739,0.00011183177028166391
2,4,262144,0.04280611,9.798376913949901e-5
2,4,524288,0.098339959,8.530213033747552e-5
2,4,1048576,0.219672986,7.637359652406236e-5
2,4,2097152,0.431087796,7.783665487946219e-5
2,4,4194304,0.854024504,7.85795532630291e-5
2,4,8388608,1.709004184,7.853563452715339e-5
2,4,16777216,3.399088161,7.897278425430049e-5
2,4,33554432,6.799735968,7.895467037640129e-5
2,4,67108864,13.51385586,7.945488209462078e-5
2,4,134217728,27.129697876,7.915619472857265e-5
2,8,2,1.5557e-5,4.113903708941313e-6
2,8,4,1.5978e-5,8.01101514582551e-6
2,8,8,1.669e-5,1.5338526063511083e-5
2,8,16,1.8144e-5,2.821869488536155e-5
2,8,32,2.099e-5,4.878513577894235e-5
2,8,64,2.369e-5,8.644997889404812e-5
2,8,128,3.2252e-5,0.0001269998759766836
2,8,256,4.9925e-5,0.00016408612919379068
2,8,512,8.4212e-5,0.00019455659525958297
2,8,1024,0.000190254,0.0001722329096891524
2,8,2048,0.00046013,0.00014242931345489316
2,8,4096,0.00067,0.00019562985074626866
2,8,8192,0.001134145,0.00023113799381913248
2,8,16384,0.002308933,0.00022706938659545342
2,8,32768,0.004539807,0.0002309736955778076
2,8,65536,0.008941417,0.00023454358520579008
2,8,131072,0.019387726,0.0002163381099980472
2,8,262144,0.051796611,0.00016195283509957823
2,8,524288,0.108325961,0.00015487714897816603
2,8,1048576,0.225970167,0.00014849053946134404
2,8,2097152,0.443768896,0.00015122480328139085
2,8,4194304,0.880298987,0.00015246834312215333
2,8,8388608,1.752081034,0.00015320949818580139
2,8,16777216,3.493950865,0.00015365725871477017
2,8,33554432,7.023569134,0.00015287694952729713
2,8,67108864,13.999283661,0.0001533995381479827
2,16,2,1.5463e-5,8.277824484252732e-6
2,16,4,1.5979e-5,1.6021027598723323e-5
2,16,8,1.6607e-5,3.083037273438912e-5
2,16,16,1.878e-5,5.452609158679446e-5
2,16,32,2.1476e-5,9.536226485379028e-5
2,16,64,2.4141e-5,0.0001696698562611325
2,16,128,3.3018e-5,0.0002481070931007329
2,16,256,5.0879e-5,0.0003220189076043161
2,16,512,8.7077e-5,0.0003763106216337264
2,16,1024,0.000296627,0.0002209374062374632
2,16,2048,0.000417681,0.0003138088637022034
2,16,4096,0.000610988,0.000429049343031287
2,16,8192,0.001203613,0.0004355951622323787
2,16,16384,0.002361312,0.0004440649943760079
2,16,32768,0.004721317,0.0004441879246828798
2,16,65536,0.009318843,0.00045008849274529033
2,16,131072,0.024635827,0.00034050442065533255
2,16,262144,0.057770959,0.0002904091656155474
2,16,524288,0.125088211,0.0002682461579053201
2,16,1048576,0.24237151,0.00027688429221734844
2,16,2097152,0.476894703,0.00028144101235697726
2,16,4194304,0.945330942,0.000283959240170518
2,16,8388608,1.891230079,0.0002838739283820369
2,16,16777216,3.755199259,0.0002859347134314078
2,16,33554432,7.544151142,0.00028465543804450993
2,32,2,1.551e-5,1.650548033526757e-5
2,32,4,1.6102e-5,3.1797292261830826e-5
2,32,8,1.6718e-5,6.125134585476731e-5
2,32,16,1.8673e-5,0.00010967707384994377
2,32,32,2.1294e-5,0.00019235465389311543
2,32,64,2.3819e-5,0.00034392711700743104
2,32,128,3.2921e-5,0.0004976762552777863
2,32,256,5.1342e-5,0.0006382299092361031
2,32,512,8.7137e-5,0.0007521030102023252
2,32,1024,0.000297621,0.00044039903098235677
2,32,2048,0.000477245,0.0005492860061394043
2,32,4096,0.000636987,0.0008230748822189464
2,32,8192,0.001188119,0.0008825513269293732
2,32,16384,0.002425994,0.0008644506128209716
2,32,32768,0.004655231,0.0009009872979450429
2,32,65536,0.009373025,0.0008949733943950859
2,32,131072,0.03305912,0.0005074913064836571
2,32,262144,0.067011655,0.0005007253141263262
2,32,524288,0.125847181,0.0005332567918227743
2,32,1048576,0.243188191,0.0005519089041622091
2,32,2097152,0.479842123,0.0005594245338898686
2,32,4194304,0.949430055,0.0005654665229657175
2,32,8388608,1.893672525,0.0005670155794228466
2,32,16777216,3.776751562,0.0005686060130634561
2,64,2,1.5568e-5,3.28879753340185e-5
2,64,4,1.6202e-5,6.320207381804716e-5
2,64,8,1.6966e-5,0.00012071201225981373
2,64,16,1.8787e-5,0.0002180231010805344
2,64,32,2.0967e-5,0.00039070920971049744
2,64,64,2.4273e-5,0.0006749886705392824
2,64,128,3.302e-5,0.0009923682616596002
2,64,256,5.1491e-5,0.001272766114466606
2,64,512,8.7059e-5,0.0015055537049587064
2,64,1024,0.000197752,0.0013256199684453253
2,64,2048,0.000477561,0.0010978450920405979
2,64,4096,0.000631492,0.0016604739252437087
2,64,8192,0.001276752,0.0016425680163414667
2,64,16384,0.002425214,0.0017294572767599064
2,64,32768,0.004862268,0.0017252459140466958
2,64,65536,0.012723091,0.0013186430875956163
2,64,131072,0.037610877,0.0008921470243833984
2,64,262144,0.067059823,0.0010007313022582834
2,64,524288,0.126120052,0.0010642060946819145
2,64,1048576,0.244303066,0.0010987805449809622
2,64,2097152,0.480698788,0.001116855139647242
2,64,4194304,0.953584633,0.0011260057962783887
2,64,8388608,1.899699889,0.0011304331070579958
2,128,2,1.575e-5,6.501587301587301e-5
2,128,4,1.6204e-5,0.0001263885460380153
2,128,8,1.6894e-5,0.00024245294187285428
2,128,16,1.8938e-5,0.0004325694371105713
2,128,32,2.1332e-5,0.0007680480030001875
2,128,64,2.4895e-5,0.0013162482426189997
2,128,128,3.5198e-5,0.0018619239729530089
2,128,256,5.4953e-5,0.002385165505067967
2,128,512,9.5426e-5,0.0027470919875086457
2,128,1024,0.000318191,0.0016477147373747216
2,128,2048,0.000440587,0.0023799522001330046
2,128,4096,0.00069565,0.00301466542082944
2,128,8192,0.001350206,0.0031064178355006567
2,128,16384,0.002683399,0.0031261128143820582
2,128,32768,0.006959499,0.0024106930685671483
2,128,65536,0.015796396,0.002124182756623726
2,128,131072,0.03917891,0.0017128823645170324
2,128,262144,0.070170102,0.0019127480817970023
2,128,524288,0.132274618,0.002029379937426846
2,128,1048576,0.256725159,0.002091228277318936
2,128,2097152,0.505679959,0.0021233624249680817
2,128,4194304,1.011554966,0.002122952998285216
2,256,2,1.6542e-5,0.00012380606939910532
2,256,4,1.6632e-5,0.00024627224627224626
2,256,8,1.745e-5,0.0004694555873925501
2,256,16,1.9445e-5,0.0008425816405245564
2,256,32,2.1368e-5,0.001533508049419693
2,256,64,2.5585e-5,0.002561500879421536
2,256,128,3.5893e-5,0.0036517426796311265
2,256,256,5.6071e-5,0.004675215351964474
2,256,512,9.6393e-5,0.0054390671521791
2,256,1024,0.000319988,0.003276922884608173
2,256,2048,0.000496517,0.004223726478650278
2,256,4096,0.000688998,0.006087541618408182
2,256,8192,0.001340332,0.006258604584535771
2,256,16384,0.003885161,0.0043182807610804294
2,256,32768,0.007730558,0.0043404928855071
2,256,65536,0.015408239,0.004355388308813227
2,256,131072,0.03861574,0.003475725908657972
2,256,262144,0.069152777,0.0038817740609317832
2,256,524288,0.130313945,0.004119827022349757
2,256,1048576,0.252429834,0.004253624886510047
2,256,2097152,0.497182286,0.0043193084477671844
2,512,2,1.6605e-5,0.0002466726889491117
2,512,4,1.6641e-5,0.0004922781082867617
2,512,8,1.759e-5,0.0009314383172256965
2,512,16,1.9723e-5,0.001661410535922527
2,512,32,2.1335e-5,0.003071760018748535
2,512,64,2.5892e-5,0.005062258612698903
2,512,128,3.586e-5,0.007310206358059119
2,512,256,5.6344e-5,0.009305125656680392
2,512,512,9.6871e-5,0.010824457267912998
2,512,1024,0.000320258,0.006548320416664064
2,512,2048,0.000520211,0.008062697636151485
2,512,4096,0.000705814,0.011885012198681238
2,512,8192,0.001870017,0.008971691701198438
2,512,16384,0.003805734,0.008816809582593003
2,512,32768,0.007676905,0.008741656175242496
2,512,65536,0.015309036,0.008767222704290461
2,512,131072,0.038374928,0.006995073866978981
2,512,262144,0.068581263,0.007828244749589985
2,512,524288,0.129261573,0.0083067364807637
2,512,1048576,0.25050192,0.00857272330687126
2,1024,2,1.6457e-5,0.000497782098802941
2,1024,4,1.6728e-5,0.0009794356767097083
2,1024,8,1.7604e-5,0.0018613951374687571
2,1024,16,1.976e-5,0.0033165991902834005
2,1024,32,2.1513e-5,0.006092688142053642
2,1024,64,2.5759e-5,0.010176792577351606
2,1024,128,3.598e-5,0.01457165091717621
2,1024,256,5.6587e-5,0.018530333822255995
2,1024,512,9.7677e-5,0.021470274476079323
2,1024,1024,0.000222325,0.01886564264027887
2,1024,2048,0.000526569,0.015930690944586563
2,1024,4096,0.000987496,0.016989654641639054
2,1024,8192,0.001823541,0.018400700614902545
2,1024,16384,0.003795965,0.017678999674654534
2,1024,32768,0.007615279,0.017624794574171217
2,1024,65536,0.015244713,0.017608429624093286
2,1024,131072,0.038023271,0.014119535165714703
2,1024,262144,0.06809772,0.0157676618835403
2,1024,524288,0.129774808,0.01654776979519785
2,2048,2,1.7244e-5,0.0009501275806077477
2,2048,4,1.6973e-5,0.0019305956519177516
2,2048,8,1.7691e-5,0.0037044825052286474
2,2048,16,1.9874e-5,0.006595149441481333
2,2048,32,2.3359e-5,0.011222398219101844
2,2048,64,2.6193e-5,0.020016340243576528
2,2048,128,3.6499e-5,0.028728896682100883
2,2048,256,5.7961e-5,0.03618212246165525
2,2048,512,0.000100259,0.04183468815767163
2,2048,1024,0.000292563,0.02867282602379658
2,2048,2048,0.000586825,0.02858981127252588
2,2048,4096,0.000972989,0.03448593149562842
2,2048,8192,0.001929863,0.03477390053076306
2,2048,16384,0.003918718,0.03425041761106566
2,2048,32768,0.007908705,0.03394177125079264
2,2048,65536,0.0160001,0.03355422228611071
2,2048,131072,0.039490977,0.02718954823528423
2,2048,262144,0.071823417,0.02989949152655881
2,4096,2,1.6525e-5,0.0019829349470499246
2,4096,4,1.6918e-5,0.0038737439413642277
2,4096,8,1.7878e-5,0.007331468844389752
2,4096,16,1.982e-5,0.013226236125126136
2,4096,32,2.1467e-5,0.024422974798527973
2,4096,64,2.6268e-5,0.03991837977767626
2,4096,128,3.7096e-5,0.056533103299547124
2,4096,256,5.7807e-5,0.0725570259657135
2,4096,512,0.000100302,0.0836335068094355
2,4096,1024,0.000380901,0.0440461327221509
2,4096,2048,0.000572477,0.05861271631873421
2,4096,4096,0.000970218,0.06916885071190186
2,4096,8192,0.001921327,0.06985678544047942
2,4096,16384,0.003868639,0.06938756911668419
2,4096,32768,0.008300553,0.06467893307831418
2,4096,65536,0.015808807,0.06792048406941775
2,4096,131072,0.039377388,0.05453595977468084
2,8192,2,1.6672e-5,0.003930902111324377
2,8192,4,1.715e-5,0.007642682215743441
2,8192,8,1.8055e-5,0.014519191359734146
2,8192,16,2.014e-5,0.02603217477656405
2,8192,32,2.1374e-5,0.049058482268176294
2,8192,64,2.6521e-5,0.07907514799592777
2,8192,128,3.7354e-5,0.11228527065374524
2,8192,256,5.7871e-5,0.1449535691451677
2,8192,512,0.000128707,0.13035200882624876
2,8192,1024,0.000356249,0.09418814368601737
2,8192,2048,0.000527688,0.12717527023544214
2,8192,4096,0.000977687,0.13728087619043722
2,8192,8192,0.001953789,0.13739224450541998
2,8192,16384,0.003915816,0.13710320198906178
2,8192,32768,0.007817481,0.1373513826256821
2,8192,65536,0.015571332,0.13791264921973279
2,16384,2,1.6976e-5,0.007721017907634307
2,16384,4,1.7374e-5,0.01508829285138713
2,16384,8,1.8944e-5,0.027675675675675675
2,16384,16,2.1559e-5,0.048637506377846834
2,16384,32,2.3562e-5,0.08900568712333418
2,16384,64,3.0722e-5,0.13652444502311048
2,16384,128,4.5101e-5,0.18599605330258753
2,16384,256,8.7063e-5,0.19270202037604953
2,16384,512,0.000232929,0.1440543341533257
2,16384,1024,0.000454646,0.14760685016474356
2,16384,2048,0.000628566,0.21353004775950338
2,16384,4096,0.001200902,0.223528194640362
2,16384,8192,0.002382721,0.2253184120171854
2,16384,16384,0.004804322,0.22349497473316735
2,16384,32768,0.011212406,0.19152746056466383
2,32768,2,1.731e-5,0.01514407856730214
2,32768,4,1.8017e-5,0.029099628128989287
2,32768,8,1.9495e-5,0.05378691972300591
2,32768,16,2.1592e-5,0.09712634309003336
2,32768,32,2.6211e-5,0.16002075464499638
2,32768,64,3.627e-5,0.2312822718500138
2,32768,128,6.0896e-5,0.2755060430898581
2,32768,256,0.00010942,0.3066572107475781
2,32768,512,0.00033627,0.19956839444494007
2,32768,1024,0.000510695,0.26281386737681
2,32768,2048,0.000776419,0.3457353001407745
2,32768,4096,0.001532927,0.3502260133718044
2,32768,8192,0.002967844,0.36179186776663463
2,32768,16384,0.006021757,0.35662077496650896
2,65536,2,1.7782e-5,0.029484197503093015
2,65536,4,1.9122e-5,0.054836105009936194
2,65536,8,2.0782e-5,0.10091194302762006
2,65536,16,2.4987e-5,0.16785944691239443
2,65536,32,3.3084e-5,0.2535548301293677
2,65536,64,5.1506e-5,0.32573323496291695
2,65536,128,9.2504e-5,0.36273493038138893
2,65536,256,0.000295988,0.2267283268240604
2,65536,512,0.0004246,0.316103928403203
2,65536,1024,0.000709578,0.37830295753250526
2,65536,2048,0.001271819,0.42212839405607244
2,65536,4096,0.002571731,0.4175171602317661
2,65536,8192,0.005113542,0.41996010749496143
2,131072,2,1.9742e-5,0.05311397021578362
2,131072,4,2.1294e-5,0.0984855827932751
2,131072,8,2.2087e-5,0.18989921673382532
2,131072,16,3.3354e-5,0.2515023085686874
2,131072,32,5.4819e-5,0.30604746529487953
2,131072,64,9.3376e-5,0.35934749828649765
2,131072,128,0.000212901,0.3152115960000188
2,131072,256,0.000424988,0.31581533596242717
2,131072,512,0.000668926,0.4012932013406565
2,131072,1024,0.001342537,0.39989282381044244
2,131072,2048,0.002504656,0.42869832184539514
2,131072,4096,0.005089637,0.4219325755451715
2,262144,2,2.2058e-5,0.09507444011243087
2,262144,4,2.3491e-5,0.17854940189859947
2,262144,8,2.7942e-5,0.3002150168205569
2,262144,16,5.4491e-5,0.3078896698537373
2,262144,32,9.0619e-5,0.3702803164899194
2,262144,64,0.000197048,0.3405711501766068
2,262144,128,0.000439624,0.30530118464869976
2,262144,256,0.000649699,0.4131689536231393
2,262144,512,0.001275195,0.421010835205596
2,262144,1024,0.002468339,0.4350058172722629
2,262144,2048,0.00482317,0.4452432006336082
2,524288,2,2.731e-5,0.153581252288539
2,524288,4,3.1333e-5,0.26772438004659627
2,524288,8,4.77e-5,0.35172360587002094
2,524288,16,8.6684e-5,0.38708910525587187
2,524288,32,0.000193486,0.3468409290594668
2,524288,64,0.000439963,0.3050659441816699
2,524288,128,0.000615259,0.4362966750587963
2,524288,256,0.001254684,0.4278933277223588
2,524288,512,0.002349179,0.4570710976047377
2,524288,1024,0.004550464,0.47192630202106867
2,1048576,2,3.9501e-5,0.21236444646970962
2,1048576,4,4.78e-5,0.3509877824267782
2,1048576,8,7.3224e-5,0.4582436359663498
2,1048576,16,0.000284415,0.23595402492836173
2,1048576,32,0.00044033,0.3048116821474803
2,1048576,64,0.000568856,0.4718864809371792
2,1048576,128,0.001139867,0.4709943458315751
2,1048576,256,0.002260599,0.47498111075869714
2,1048576,512,0.004544587,0.47253659089373795
2,2097152,2,6.2861e-5,0.26689387696664074
2,2097152,4,7.8392e-5,0.4280338810082661
2,2097152,8,0.000125052,0.5366476665707065
2,2097152,16,0.000443387,0.3027101110316721
2,2097152,32,0.000565543,0.47465083291633003
2,2097152,64,0.001060571,0.5062093080048389
2,2097152,128,0.002287768,0.4693403456993891
2,2097152,256,0.004497834,0.4774484002744432
2,4194304,2,0.000109644,0.306030717595126
2,4194304,4,0.000170716,0.3931023688465053
2,4194304,8,0.000321313,0.41771645716170835
2,4194304,16,0.000641697,0.41832119520583705
2,4194304,32,0.001083897,0.4953154331084965
2,4194304,64,0.002068108,0.5191904020486358
2,4194304,128,0.004414779,0.4864306113624261
2,8388608,2,0.000338407,0.1983081437440715
2,8388608,4,0.000391056,0.343218689906305
2,8388608,8,0.000571889,0.4693838419693332
2,8388608,16,0.001113845,0.481997865053037
2,8388608,32,0.002165118,0.4959276233443165
